ItemID,ebay_id,instock_qty,warehouse_qty,ebay_team_qty,newitemreceiveddate,last_upload_date,ebay_status,last_markedforebay
GO61PU1,,1,1,0,11/16/2022,10/14/2019,,
GoldAES25U1,,1,1,0,7/8/2022,7/11/2022,,
GramEXABU1,,1,1,0,3/19/2022,5/24/2022,,
GRKT422SNNBU2,,1,1,0,2/2/2022,3/7/2022,,
GTOUR12UCA24DU2,,1,1,0,11/3/2022,11/9/2022,,
GTOURDDJ1000U2,,1,1,0,9/26/2022,10/31/2022,,
GTOURM32U1,58952,1,1,0,10/18/2022,1/26/2022,Shipped,11/13/2018
GuardGTR5TRU1,87487,1,1,0,11/7/2022,11/23/2022,Unlisted,11/24/2022
GUITAR2USBU1,,1,1,0,10/27/2022,11/1/2022,,
H1StrapU1,,1,1,0,11/16/2022,11/25/2022,,
H6BlkU2,,1,1,0,11/22/2022,11/25/2022,,
HCAJ1AWAU1,,1,0,0,10/5/2022,10/19/2021,,
HcShpVlaCs15U1,,1,1,0,10/5/2022,11/3/2022,,
HDSP9652U2,,1,1,0,5/6/2022,5/16/2022,,
HiX60U1,,1,0,0,7/16/2022,7/21/2022,,
HR72XU1,86343,1,1,0,5/20/2022,5/24/2022,Unlisted,9/22/2022
HR824mk2U1,,1,1,0,11/1/2022,3/9/2021,,
HT850BCU1,,1,1,0,10/14/2022,11/17/2022,,
INTIMSCAN360U2,,1,1,0,10/11/2022,2/23/2022,,
IOEXT4U1,,1,1,0,11/8/2022,11/10/2022,,
IP3000U13,,1,1,0,11/8/2022,11/16/2022,,
IridiumSWU1,86539,1,1,0,9/26/2022,2/24/2022,Post #1,10/4/2022
IridiumU1,,2,0,0,9/26/2022,6/1/2021,,
IridiumU4,,1,0,0,10/29/2022,5/27/2021,,
IX12U1,42772,1,0,0,10/21/2022,10/11/2021,Shipped,12/13/2016
JBassVAPPMOSU1,,1,1,0,8/17/2022,8/17/2022,,
JBT3TSU1,87488,1,1,0,11/11/2022,11/21/2022,Post #1,11/24/2022
JBTLPBU1,81323,1,1,0,11/10/2022,3/3/2022,Shipped,2/23/2022
JP-2CRackU1,,1,0,0,11/7/2022,11/18/2021,,
JP-2CU1,,1,1,0,11/23/2022,8/5/2020,,
JSSRR100U1,87450,1,1,0,10/13/2022,11/3/2022,Post #1,11/22/2022
K0705U2,,1,1,0,8/9/2022,6/14/2022,,
K10.2U2,56574,1,0,0,11/22/2022,12/5/2019,Shipped,7/5/2018
KAG100WHU1,,1,1,0,10/19/2022,11/16/2022,,
KataArtistmk2U1,,1,0,1,11/4/2022,9/13/2021,,
KataArtistmk2U2,,1,1,0,11/9/2022,11/27/2021,,
KB100U1,,1,1,0,6/21/2022,8/9/2022,,
KB100U2,,1,1,0,7/20/2022,8/17/2022,,
KB100U3,,1,1,0,7/20/2022,8/17/2022,,
KB3U1,,1,1,0,9/12/2022,11/1/2022,,
KDP75BKU2,,1,1,0,3/29/2022,9/20/2022,,
KellyKEXFRU1,,1,1,0,11/16/2022,11/16/2022,,
KH80WHU1,,1,1,0,4/13/2022,4/25/2022,,
KM19743U1,86354,1,1,0,6/7/2022,6/10/2022,Unlisted,9/22/2022
KM24171U1,,1,1,0,10/31/2022,4/25/2022,,
KM24171U3,,1,1,0,4/20/2022,4/22/2022,,
KM24171U4,,1,1,0,4/20/2022,4/25/2022,,
KompKS2-88U3,,1,1,0,8/17/2022,9/7/2022,,
KP610SU1,,1,1,0,9/9/2022,11/14/2022,,
KP80PaU1,,1,1,0,10/15/2022,10/24/2022,,
L1000CLFBBU1,,1,1,0,2/16/2022,2/22/2022,,
L1kS750CMNU1,,1,1,0,6/24/2022,6/24/2022,,
L300BU1,,1,0,1,11/16/2022,11/18/2021,,
L5502CMBSEU1,,1,1,0,9/28/2022,9/24/2021,,
L5502CMIBMU1,56380,1,1,0,11/17/2022,11/17/2022,Shipped,6/27/2018
L5502DETBFMU1,,1,1,0,9/23/2022,5/21/2019,,
LALEXI200BLKU1,,1,1,0,11/7/2022,11/7/2022,,
LCPBKTRU1,,1,1,0,9/21/2022,10/3/2022,,
LCT81CTU1,86349,1,1,0,5/23/2022,9/9/2021,Unlisted,9/22/2022
LCT81CTU2,,1,1,0,11/2/2022,9/9/2021,,
LCT81CTU3,86357,1,1,0,6/13/2022,6/28/2022,Post #4,9/22/2022
LEC1KCTMTSSU2,,1,1,0,9/16/2022,9/27/2022,,
LexPrLSSVSBU1,,1,1,0,10/23/2022,10/24/2022,,
LexRotaryU1,61497,1,1,0,11/22/2022,12/30/2021,Shipped,1/23/2019
LexRotaryV2U1,,1,0,0,11/15/2022,9/1/2022,,
LizChoirU1,,1,0,0,4/21/2022,4/26/2022,,
LizDiaS8TanU1,,1,1,0,8/17/2022,9/2/2022,,
LizPltRdT4TanU1,,1,1,0,11/14/2022,11/17/2022,,
LizPodiumU1,,1,1,0,11/9/2022,11/17/2022,,
LKR-RS584C-C31U1,,1,1,0,6/8/2022,6/21/2022,,
LM1008MSFSBSU1,,1,0,0,9/14/2022,9/14/2022,,
